url,标题,租赁方式,交通,价格,付款方式,佣金,面积,户型,楼层,朝向,小区,类型,装修
https://bj.zu.anjuke.com/fangyuan/3829264684753931?isauction=2&shangquan_id=6051&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKPHcLnWD3nH0zPHTdrjDKTHn3nWbzPWEvrjELPHnOn1DKnH9LnjTKnH9LnjTKnikQnEDQTHDLn1N1nW93n1EvnjDKnE7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0zPHN1nW9knWmQrHTvPjnzTHmKTHDKmhEzPAR-PycVm1cvuaYYnjbQsyFbryDVPHbdPWcYPjNOPAEOTHD3P1cdPHnzrjDYPjEvrj03P1nKnH9LnWNdn1c3nHEzn10QPWndn9DKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKmHFbPyFWnvmVrjDznBYYrH9YsH-6nhNVP1NYmyR6nWFBm16hTEDYTEDKnTDQsjDQPj0_PWTdnEDQTyOdUAkKuj7WPAE1P1T1nW0OPWKBnT&lego_tid=a2d5bc3f-8122-4984-9a2e-754aea22bc8f&psid=dc5e48a56cca05b090897b6bdadc8c63,马驹桥 小米 中芯国际 奔驰 联东U谷 博士后 精装三居,整租,,3300,付3押1,佣金：80%月租金,98平方米,3室1厅1卫,高层(共17层),南北,博士后科研孵化基地 通州 马驹桥,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3846645630446598?isauction=2&shangquan_id=6906&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKP1ndPHDdPj03n19LnWcKTHn3PjmvPjNvn1TYPjmdrH9KnWTznjTKnWTznjTKnikQnEDQTHDLn1N1nW93n1EvnjDKn97AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0zPHc3PH0dP1TznWbkPjnzTHmKTHDKmWDvnvEQPvmVPANOriYYnvNYsHb1PjnVn1E1uWnOnWFbnWbdTHD3P1cdnW9dP1m3PW91nHNQn1mKnH9LnWNzrjNLPW9vPjDkrjNYPTDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnyF6uWEvnymVnvnLPzYYrHN3syDzrynVPyDLuWnzuA7Wm1NOTEDYTEDKnTDQsjm3nj9_PWbkP9DQTyOdUAkKPANknjK-nWI6PWD3ujubP9&lego_tid=1baf461f-3c77-4958-a29c-5a7f32dacc59&psid=dc5e48a56cca05b090897b6bdadc8c63,长阳 加州水郡三期 一梯一户大三居 自住标准 三面采光,整租,,5300,付3押1,佣金：50%月租金,145平方米,3室2厅2卫,低层(共14层),南北,加州水郡西区(三期) 房山 长阳,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3854837753818113?isauction=2&shangquan_id=6866&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKPWNvPWnkn1mLP1DdrHNKTHn3PHE3n10LPHn3nH9QnHnKnH0LnjTKnH0LnjTKnikQnEDQTHDLn1N1nW93n1EvnjDKnk7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0kPWNYrjEzrjNdnW93rjn3THmKTHDKujwbuyEQPAmVuW6WriYYuW9Osy7-uhDVmvDvmHnkrjndPj03THD3P1TvPHE3PjcOn1TLrjm1njNKnH9LnjmdPj9YnWbzPWN3n19krTDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKmHmYPW--mhNVrH0kraYYmym3sH9OPH9VPj9vnhw-n103njTYTEDYTEDKnTDQsjm3nj9_PW9vP9DQTyOdUAkKnHRBPH7hrjn3mH6BnHuBnk&lego_tid=a6469ebe-9708-4af8-8958-4862de378004&psid=dc5e48a56cca05b090897b6bdadc8c63,良乡大学城200米 睿府书香开间 精装全齐，随时看房 有钥匙,整租,房山号线,2100,付3押1,佣金：50%月租金,49平方米,1室1厅1卫,高层(共15层),朝北,首开熙悦睿府书香 房山 良乡,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3844955191484430?isauction=2&shangquan_id=6866&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKrjnOnWbznWcznHNLnjTKTHn3PjEOPHNQrHDYrjEYn1TKnH0LnjTKnHTvnjTKnikQnEDQTHDLn1N1nW93n1EvnjcKPT7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0kPWEkPWT3njDzPjm3nWcYTHmKTHDKPymkPvFBm1mVmHcdnzYYnyEvsyF6nW0VP1IBPHuWnHEdn1-hTHD3P1TvPjTvnj9krj0OPWNvrHmKnH9LnjmYnjmkrjTdnjcknjNLPkDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKPAnYP10vmHEVmyEkniYYujbdsHbLrjmVnWc1PjTdmWRhPhw-TEDYTEDKnTDQsjm3nj9_PW9vP9DQTyOdUAkKnhu6nHw-PAwbuWRhn1-bPE&lego_tid=4c4776a4-ad01-4d95-9786-223405b5f6de&psid=dc5e48a56cca05b090897b6bdadc8c63,伟业东里 大学城地铁 北理工附近 电梯房 采光好 包物业取暖,整租,,2100,付3押1,佣金：50%月租金,55平方米,1室1厅1卫,低层(共10层),朝南,昊天伟业嘉园东里 房山 良乡,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3854786418240514?isauction=2&shangquan_id=6866&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKn1nzPWNLrjmkPH9LPWEKTHn3PHELrjmYnH9zPjTdnHEKnH0LnjTKnH0LnjTKnikQnEDQTHDLn1N1nW93n1EvnjcKPE7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0zPHmvrHTOrjbQrjcQPHm3THmKTHDKn1ELmWmzrj9VmhnkmzYYuHmYsyczPWcVPWK6mHEQmyDLnhEvTHD3P1cdPWmOnjbOPW01nW0zn1cKnH9LnWNvPWbkrHbvP1nQPjbYP9DKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKrjnYuAwhPjbVPhDYPaYYnW-6syFWPynVrymQmWcznyuBm1F6TEDYTEDKnTDQsjm3nj9_PW9vP9DQTyOdUAkKnhEYn1uBmH-hrj--mvuWnk&lego_tid=834ddf49-6a44-429a-bc5c-9f1b221fbc2a&psid=dc5e48a56cca05b090897b6bdadc8c63,紫汇家园 阳光充足 82平 家电齐全,整租,房山号线,3100,付3押1,佣金：50%月租金,82平方米,2室1厅1卫,高层(共15层),朝南,紫汇家园 房山 良乡,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3839640820605952?isauction=2&shangquan_id=30707&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKrjn1rHmQnWcOnjNvPHDKTHn3n1bvPjT3nWTvnjNOPHcKnHmvnjTKnHmvnjTKnikQnEDQTHDLn1N1nW93n1EvnjcKP97AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0zPjmOPWTdPWTYnH93nHmkTHmKTHDKmhRWn1PBnHDVPy7hniYYnAD1sycdmWbVuhPWPHKhnhuWnj9OTHD3P1cYPWbvnjmYnjbYrH9vnWEKnH9LnWEvrHmkPWDzPjcOnjTYrTDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnAu-uWP-njcVmhcQnaYYPH-hsy7-mhNVuhDYP1nvn1nLn1nzTEDYTEDKnTDQsjDQPjm_n1TLnj0KnE78IyQ_THE1PWPBPADOnjD1nAn3mWN&lego_tid=0fef3e02-bb10-459f-aebe-fa4736337332&psid=dc5e48a56cca05b090897b6bdadc8c63,天洋城(南区) 通风好 急租房源 家电齐全,整租,,1800,付1押1,佣金：80%月租金,90.2平方米,2室1厅1卫,低层(共28层),西南,天洋城(南区) 北京周边 燕郊,普通住宅,简单装修
https://bj.zu.anjuke.com/fangyuan/3832151282738178?isauction=2&shangquan_id=5139&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKPWDQnW9dn1EkP1TLrH0KTHn3n1cQPHDzrjcLn19QP19KnH9LnjTKnH9LnjTKnikQnEDQTHDLn1N1nW93n1EvnjcKPk7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0znHnYn1c3rHcvrHDvPWT3THmKTHDKmH76mHDzPjbVPHN1miYYPynYsyF6m1bVPj--nWmvnW9zuHNLTHD3P1cQn1E1n1Tkrj9Ln1TvnWEKnH9LnWD1Pjn1njT1njTzPW0dnkDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKuWbQm1bkuj9VnWm3uaYYmHIBsH66nAnVnWuWPv7BnhD1nvmLTEDYTEDKnTDQsjDQPjE_PHD1rEDQTyOdUAkKm1mLPW7-mhD3mWE3njEOu9&lego_tid=f91c90d8-268d-4a7b-8a0c-26c7ab2a33f7&psid=dc5e48a56cca05b090897b6bdadc8c63,我爱我家相寓 万源西洼地中楼层2居室,整租,8号线/8号线南段,3200,付1押1,佣金：1月租金,51平方米,2室1厅1卫,共5层,南北,西洼地 丰台 东高地,普通住宅,简单装修
https://bj.zu.anjuke.com/fangyuan/3842499302878219?isauction=2&shangquan_id=12945&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKPWDOPjNYn1EYrHnYPjcKTHn3PjcYrHb1njc3P19znHbKnH9znjTKnH9znjTKnikQnEDQTHDLn1N1nW93n1EvnjcKrT7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0zPWDvPWm3P1mdPW0OPWDvTHmKTHDKmWnduHIWPhNVPAEvuBYYrj7BsyDzmWnVPWbYmHEYn1K-ujTkTHD3P1cvnHmvPW93rHDdnjTdPjEKnH9LnWmQPWmvrjbznj9LnWbvnTDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKnv7-PvcvnH0VnAF6riYYPAN3syDvPADVPAc1uANvuWw6myP-TEDYTEDKnTDQsjDQPjc_nHcOPjNKnE78IyQ_THR-PH03mWF6nAELrHcLuAc&lego_tid=3ae7b617-0ba9-44e8-a64a-4b3de6f4aace&psid=dc5e48a56cca05b090897b6bdadc8c63,国贸十里河 周庄嘉园 方正一居室 客厅宽敞 随时看,整租,17号线,4100,付3押1,佣金：1月租金,47.6平方米,1室1厅1卫,高层(共16层),朝南,周家庄中路18号院 朝阳 十里河,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3805720466467852?isauction=2&shangquan_id=6866&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKn1nzPWNLrjmkPH9LPWEKTHn3njNLnWTYPWmYPW03PHcKnH0LnjTKnH0LnjTKnikQnEDQTHDLn1N1nW93n1EvnjcKrE7AEzdEEzdKib_VOlXxOCB4sXXVhShTBXyc-SB6Jrh6VEDQTHcKTiYQTEDQrj0zPHmYP1N1n1nQP1T1rjT3THmKTHDKrHcQmHmvuymVmhn3PiYYmWcQsHbLrH0Vrj0krA7-nH7WuHmdTHD3P1cdPWELPHnYnHNdrjDvrH0KnH9LnWNvPj0dn1EQrH0OnWn3PTDKnikQnEDKTEDVTEDKTEDzPWTQrWDYnjCOnjTQrWP6mHTlnWElrjTznHC3nhFWrhcQmHbKnTDkTEDQsjDQTgVqTHDknjnvTHDknjDvPWNKmWTvPyD1n1cVryRbriYYrjNzsH6-n10VnWuWnjnzPH0OuAc1TEDYTEDKnTDQsjm3nj9_PW9vP9DQTyOdUAkKnvEYmWIBmWFbuhEYuyckm9&lego_tid=b065a332-9ed9-4852-8e37-26c032579db3&psid=dc5e48a56cca05b090897b6bdadc8c63,鸿顺园(西区) 2室1厅1卫 96平 家电齐全,整租,房山号线,3250,付3押1,佣金：50%月租金,96.9平方米,2室1厅1卫,高层(共6层),南北,鸿顺园(西区) 房山 良乡,普通住宅,精装修
https://bj.zu.anjuke.com/fangyuan/3854806134546439?isauction=2&shangquan_id=5145&legoFeeUrl=https%3A%2F%2Flegoclick.58.com%2Fjump%3Ftarget%3DpZwY0ZnlsztdraOWUvYKuaYOnWbLrAmduid6n1c3sHEzuhmVmWFbnaYvmHw-rjEvPjuBPjnKPH9OPHEdnH01PHEdnHTKTHn3PHE3njmQn1EdPjmYn1bKnWDQnjTKnWDQnjTKnikQnEDQTHDLn1N1nW93n1EvnjcKnHTKwbnVNDnVENGssXXMMSpcfzLMoufG9cM-BFxCCpWGCUNKnEDzTEDVnEDKnH9LnWEOnH0dnWcdnj0zPjndn9DvTEDQTHcLnWuhPWu-syu-rAmVPADkPaY3rjcYsyNOmhmzPWFbnAwBP9DQrj0zPjbQP1Nzn1cznjcLPHcQTHD3P1cYrHDLPHcznH0QrjcznHTKTHD_nHDKTEDKsEDKTEDKnWmknHCQPjTlrHTknHC1myDkrWcYrW9knWDlrjFBm1GBnyDOTHTKnTDKnikQnE7exEDQnjT1P9DQnjTQPWmdTHTduAuBPWDzsHDQmvnVPjw-uadBnjEdsyEYmH9Qn1wBnjRbu9DKPTDKTHTKnikQnHELsjNQPjNKnE78IyQ_TH-Bnvn1mvuhnyFWuycvn1b&lego_tid=05dfb612-11cc-44ed-b045-d4a8134b05df&psid=dc5e48a56cca05b090897b6bdadc8c63,六号线北关绿地 家和园精装两居 爱琴海物资学院 财贸学院附近,整租,6号线,4000,付1押1,佣金：0佣金,100平方米,2室2厅1卫,中层(共20层),南北,家和园(通州) 通州 永顺,普通住宅,精装修
