标题,租赁方式,户型,面积,朝向,维护,入住,楼层,电梯,车位,用水,用电,燃气,采暖,租期,看房,付款方式,租金(元/月),押金(元),服务费(元),中介费(元),链接
万德嘉园二区,合租,4居室,13.00㎡,南,16天前,随时入住,5/10层,有,暂无数据,暂无数据,暂无数据,有,暂无数据,3~12个月,随时可看,季付,2300,2300,,0,https://bj.zu.ke.com/zufang/BJ1825772858039599104.html
北店嘉园,合租,5居室,18.00㎡,南,21天前,随时入住,6/6层,无,租用车位,民水,民电,有,自采暖,1年,随时可看,季付,1700,1700,,0,https://bj.zu.ke.com/zufang/BJ1825827262029627392.html
富锦嘉园一区,整租,3室2厅2卫,120.44㎡,南 北,2天前,随时入住,中楼层/5层,无,免费使用,民水,民电,有,自采暖,3年以内,需提前预约,年付,8800,8800,0.0,8800,https://bj.zu.ke.com/zufang/BJ1942503208647655424.html
古城北路,合租,3居室,8.00㎡,北,今天,随时入住,6/6层,无,暂无数据,民水,民电,有,集中供暖,1年,随时可看,月付,1921,1921,,0,https://bj.zu.ke.com/zufang/BJ1825874597556256768.html
天通苑北一区,整租,4室2厅2卫,188.25㎡,南 北,12天前,随时入住,中楼层/7层,无,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,需咨询,10000,10000,0.0,10000,https://bj.zu.ke.com/zufang/BJ1942550151247691776.html
金融街融汇,整租,2室1厅1卫,77.00㎡,南,13天前,随时入住,高楼层/26层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,一般下班后可看,季付,4300,4300,0.0,4300,https://bj.zu.ke.com/zufang/BJ1942553495550820352.html
皂君东里,整租,2室1厅1卫,54.50㎡,东 西,1天前,随时入住,高楼层/6层,无,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,7700,7700,0.0,7700,https://bj.zu.ke.com/zufang/BJ1942561165372555264.html
炫特嘉园二期,整租,1室1厅1卫,58.00㎡,东南,2天前,随时入住,高楼层/28层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5600,5600,0.0,5600,https://bj.zu.ke.com/zufang/BJ1942553828490477568.html
旗胜家园,合租,3居室,9.00㎡,北,今天,随时入住,21/21层,有,租用车位,民水,民电,有,自采暖,1~2年,随时可看,月付,2373,2373,,0,https://bj.zu.ke.com/zufang/BJ1825776277810839552.html
南竺园,合租,3居室,7.71㎡,北,3天前,2024-12-26,6/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,1396,1396,,0,https://bj.zu.ke.com/zufang/BJ1825899906007564288.html
东亚上北中心,整租,3房间1卫,83.00㎡,西南,8天前,随时入住,低楼层/21层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,7100,7100,0.0,7100,https://bj.zu.ke.com/zufang/BJ1942554665782607872.html
鼎盛园,整租,1室1厅1卫,69.57㎡,西,5天前,随时入住,中楼层/11层,有,暂无数据,民水,民电,有,集中供暖,2年以内,需提前预约,季付,5140,5140,0.0,5140,https://bj.zu.ke.com/zufang/BJ1942567964549054464.html
常青园北里,整租,1室1厅1卫,60.44㎡,南,今天,随时入住,2/6层,有,租用车位,民水,民电,有,集中供暖,1~2年,随时可看,月付,7129,7129,,0,https://bj.zu.ke.com/zufang/BJ1825956082153947136.html
大西洋新城G区,整租,1室1厅1卫,66.57㎡,西,5天前,随时入住,中楼层/27层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,9000,9000,0.0,9000,https://bj.zu.ke.com/zufang/BJ1942573214228021248.html
天朗园,整租,2室1厅1卫,103.00㎡,东南,6天前,随时入住,高楼层/31层,有,暂无数据,民水,民电,有,自采暖,1年以内,需提前预约,季付,8500,8500,0.0,8500,https://bj.zu.ke.com/zufang/BJ1942565652300562432.html
永金里小区,合租,4居室,16.00㎡,北,2天前,2024-12-27,6/6层,无,暂无数据,民水,民电,有,集中供暖,1~2年,需提前预约,月付,2898,2898,,0,https://bj.zu.ke.com/zufang/BJ1825864009648177152.html
美丽西园,整租,2室2厅1卫,81.05㎡,南 北,13天前,随时入住,高楼层/9层,有,暂无数据,民水,民电,有,集中供暖,1年以内,需提前预约,季付,7500,7500,0.0,7500,https://bj.zu.ke.com/zufang/BJ1942585334587981824.html
龙锦苑四区,合租,5居室,11.00㎡,北,1天前,随时入住,1/6层,无,租用车位,民水,民电,有,集中供暖,1年,需提前预约,季付,1300,1300,,0,https://bj.zu.ke.com/zufang/BJ1825790390851076096.html
阳光北里,整租,1室1厅1卫,67.00㎡,南,13天前,随时入住,中楼层/18层,有,暂无数据,民水,民电,有,集中供暖,暂无数据,需提前预约,季付,5600,5600,0.0,5600,https://bj.zu.ke.com/zufang/BJ1942595477635596288.html
